brand_name,generic_name,num_mfr,spend_2019,claims_2019,benes_2019,unit_cost_2019,spend_2020,claims_2020,benes_2020,unit_cost_2020,spend_2021,claims_2021,benes_2021,unit_cost_2021,spend_2022,claims_2022,benes_2022,unit_cost_2022,spend_2023,claims_2023,benes_2023,unit_cost_2023,growth_rate
Clinimix E,Aa 5%/D15w/Electrolytes,1,72509.2,172.0,23.0,0.0457758945,41938.46,138.0,23.0,0.045581864,19210.16,41.0,,0.0418522004,8030.74,21.0,,0.0460143762,10639.42,25,,0.0464696839,0.0037677071
Clinimix E,Amino Ac 4.25% No.1/D5W/Lytes,1,3022.44,14.0,,0.0382587342,4913.75,13.0,,0.0377980769,,,,,,,,,7183.39,15,,0.043535697,0.0328297194
Clinimix E,Amino Ac 8 %/D14w/Electrolytes,1,,,,,,,,,10824.86,30.0,,0.0852351181,72734.63,146.0,19.0,0.0837109813,79522.84,133,,0.0910863172,0.0337542019
Clinisol,Parenteral Amino Acid 15% No.5,1,3768192.77,23562.0,1193.0,0.0881353794,3857191.41,24124.0,1271.0,0.0895664712,3839576.34,24209.0,1246.0,0.0980940018,3515522.02,22787.0,1063.0,0.1016544697,2600286.34,16004,833.0,0.1070853827,0.0498928516
Clinolipid,Fat Emulsion/Olive/Soy/Phospho,1,,,,,3556292.06,12973.0,936.0,0.1523420874,9374495.34,34236.0,1476.0,0.1499017367,8650685.66,30790.0,1319.0,0.1668000743,7699628.78,27404,1107.0,0.173088849,0.0434774365
Clinpro 5000,Fluoride (Sodium),1,59081.26,5748.0,2919.0,0.0771182058,58282.33,5623.0,2776.0,0.075299487,82498.98,7140.0,3433.0,0.0841415063,102919.57,8623.0,4207.0,0.0839708026,141941.88,11495,5833.0,0.0874853263,0.0320353536
Clobazam,Clobazam,13,27795583.13,86768.0,11592.0,4.7304869175,23492088.24,112152.0,13382.0,3.0286718276,24867238.51,123269.0,14938.0,2.9402187605,35264443.3,140526.0,16562.0,3.643334806,30689807.81,155102,18477.0,2.8462076909,-0.119275281
Clobetasol Emollient,Clobetasol Propionate/Emoll,5,3570842.62,30661.0,19607.0,2.1888346917,3759570.89,33226.0,19631.0,2.1573629483,3836152.27,37542.0,22133.0,1.9943409869,3978679.59,35985.0,20816.0,2.1421656061,4168355.13,40532,23163.0,2.0320253331,-0.018412456
Clobetasol Emulsion,Clobetasol Propionate/Emoll,2,124773.0,339.0,651.0,3.5208267569,166360.51,532.0,420.0,3.4586384615,181781.42,611.0,384.0,3.4428545014,414910.32,1387.0,904.0,3.6205996284,418851.5,1436,900.0,3.4800191027,-0.00291027
Clobetasol Propionate,Clobetasol Propionate,30,143861430.13,1448696.0,779563.0,1.7287191842,115188579.38,1555915.0,821618.0,1.3332158102,117735674.59,1869586.0,1004413.0,1.1688556943,134284807.64,1961458.0,1048687.0,1.2845365006,152266242.69,2324454,1250981.0,1.2377008448,-0.080137723
Clobex,Clobetasol Propionate,1,758087.55,1868.0,944.0,3.3601329556,685024.02,1809.0,921.0,3.0759371359,372700.52,959.0,588.0,3.0481185075,148367.6,187.0,88.0,6.6062169746,134515.58,150,65.0,7.5406466908,0.2239481851
Clocortolone Pivalate,Clocortolone Pivalate,2,38430.81,151.0,1018.0,5.282585567,403994.7,1294.0,1043.0,5.3206203082,430750.61,1342.0,946.0,5.2642909869,291300.92,981.0,750.0,5.228828004,243557.1,811,577.0,5.1059418394,-0.00846664
